"amylose"	"amyloza"
"amylum"	"tinh bột"
"anabiosis"	"(trạng thái) tiềm sinh"
"anabolic"	"đồng hoá"
"anabolic pathway"	"con đường đồng hoá"
"anabolism"	"đồng hoá"
"anabolism"	"(hiện tượng) đồng hoá"
"anabolite"	"chất đồng hoá"
"anaerobe"	"vi khuẩn yếm khí"
"anaerobe"	"vi khuẩn kỵ khí, vi sinh vật kỵ khí"
"anaerobic"	"yếm khí"
"anaerobic"	"kỵ khí, kỵ oxy"
"anaerobic respiration"	"hô hấp kỵ khí"
"anaerobic threshold"	"trao đổi chất kỵ khí"
"anaerobiosis"	"đời sống kỵ khí"
"anaesthesia"	"mất cảm giác, tê"
"anaesthetics"	"sự gây tê"
"anagenesis"	"(sự) tiến hoá loài, tái sinh mô, tiến hoá tiến"
"anaerobic decomposition"	"(sự) phân huỷ yếm khí"
"anaerobic respiration"	"hô hấp kỵ khí"
"anal canal"	"ống hậu môn"
"anal cerci"	"phần phụ hậu môn"
"anal character"	"đặc điểm giang môn"
"anal phase"	"pha giang môn, giai đoạn giang môn"
"anal spincter"	"cơ thắt hậu môn"
"analog gene"	"gen tương đồng"
"analogue"	"tương đồng"
"analysis of development"	"phân tích sự phát triển"
"analysis of variance"	"phân tích phương sai"
"anamnesis"	"kí ức"
"anamnesis"	"tiền sử bệnh"
"anamnestic"	"đáp ứng nhớ lệch"
"Anamniota"	"nhóm động vật không màng ối"
"anal stage"	"pha giang môn, giai đoạn giang môn"
"analgesia"	"mất cảm giác đau"
"analogous"	"cùng chức"
"analogous organs"	"cơ quan tương đương, cơ quan tương tự"
"analogy"	"(tính) cùng chức"
"analpierotic"	"phản ứng bổ sung thêm"
"anamniote"	"không màng ối"
"anamniotic"	"không màng ối"
"anamorph"	"giai đoạn bất toàn, giai đoạn vô tính"
"anaphase"	"pha sau"
"anaphylactic shock"	"sốc phản vệ"
"anaphylatoxin"	"độc tố phản vệ, anaphylatoxin"
"anaphylaxis"	"choáng quá mẫn"
"anapIasia"	"(sự) không phân hoá"
"anapophysis"	"mỏm đốt sống phụ"
"anapsid"	"không hố thái dương"
"Anapsida"	"phụ lớp không hố thái dương"
"anarthrous"	"không khớp"
"anatomy"	"(sự) không khớp"
"anatomy"	"mổ xác"
"anatropous"	"(đính) ngược"
"anaxial"	"không đối xứng"
"anchor cell"	"tế bào dạng móc"
"anchoveta industry"	"công nghệ cá trổng ở Pêru"
"anchylosis"	"(chứng) cứng khớp"
"anconeal"	"(thuộc) khuỷu"
"anconeus"	"cơ khuỷu"
"androconia"	"vảy cánh (con) đực"
"androcyte"	"tế bào đực"
"androdjoecious"	"(có) hoa đực- hoa lưỡng tính khác gốc"
"androecium"	"bộ nhị"
"androgen"	"androgen, kích tố đực"
"androgenesis"	"(sự) sinh sản đơn tính đực"
"androgynous"	"lưỡng tính"
"andromonoecious"	"(có) hoa đực lưỡng tính cùng gốc"
"androphore"	"cuống nhị"
"androsporangium"	"túi bào tử đực"
"androspore"	"bào tử đực"
"anecdysis"	"gian kỳ lột xác"
"anemia"	"(bệnh) thiếu máu"
"anemochorous"	"phát tán nhờ gió"
"anemophily"	"(tính) thụ phấn nhờ gió"
"anemotaxis"	"(tính) thụ phấn nhờ gió"
"anencephalic"	"(thuộc) tật không não"
"anencephaly"	"tật không não"
"anergy"	"(tính) không dị ứng, vô ứng"
"anesthesia"	"mất cảm giác, tê"
"aneuploid"	"thể bội không chỉnh"
"aneurysm"	"phình mạch"
"angioblast"	"nguyên bào mạch"
"angiogenesis"	"phát sinh (hệ) mạch máu, phát triển (hệ) mạch máu"
"angiogenesis"	"sự hình thành mạch, sự phát triển mạch"
"angiogenesis factors"	"nhân tố phát sinh mạch máu"
"angiogenesis inhibitor"	"chất ức chế phát sinh hệ mạch máu"
"angiogenic factors"	"nhân tố hình thành mạch"
"angiogenic growth factors"	"(các) nhân tố sinh trưởng hệ mạch máu"
"angiogenin"	"angiogenin"
"angiography"	"tim-mạch học"
"angiology"	"mạch học"
"angiosperms"	"nhóm thực vật hạt kín"
"angiostatin"	"angiostatin"
"angiotensin"	"angiotensin"
"angular divergence"	"độ phân kỳ góc"
"anima"	"anim"
"animal behavior"	"tập tính động vật"
"animal cap"	"mũ động vật"
"animal cellulose"	"men cellulosa động vật"
"animal charcoal"	"than động vật"
"animal cognition"	"nhận thức của động vật"
"animal electricity"	"điện động vật"
"animal field"	"vùng động vật"
"animal pole"	"cực động vật"
"Animalia"	"giới động vật"
"animism"	"thuyết vật linh"
"animus"	"anim"
"anion"	"anion, ion âm"
"anisocercal"	"(có) thuỳ vây đuôi không đều"
"anisogamete"	"giao tử không đều"
"anisopleural"	"bất đối xứng hai bên"
"anisotropy"	"(tính) bất đẳng hướng,  không đẳng hướng"
"anisogamous"	"bất đẳng giao"
"ankylosis"	"(chứng) cứng khớp"
"anlage"	"mầm"
"anneal"	"(sự) gắn, ghép"
"anneal"	"ủ, luyện"
"annealing"	"ghép (ADN)"
"Annelida"	"ngành Giun đốt"
"annual"	"cây một năm"
"annual growth ring"	"vùng sinh trưởng"
"annual quotas"	"chỉ số cota năm"
"annual ring"	"vòng năm, vòng sinh trưởng"
"annual species"	"loài hàng năm"
"annular"	"(thuộc) vòng,  dạng vòng"
"annulate"	"(có) vòng,  đốt"
"annulus"	"vòng, vành"
"annulus"	"đốt khớp"
"annulus"	"vòng đốt thân"
"annulus"	"vòng tơ"
"anodontia"	"(sự) không răng"
"anoestrus"	"thời kỳ đình dục"
"anomaly"	"(tính) dị thường,  bất thường"
"anomerist"	"không phân đốt rõ ràng"
"anonymous DNA marker"	"chỉ thị ADN đồng nghĩa"
"anorexia"	"(chứng) chán ăn,  ăn không ngon miệng"
"anorexia nervosa"	"(chứng) biếng ăn tinh thần"
"anosmia"	"(sự) mất khứu giác"
"anoxaemia"	"(sự) thiếu oxy mô"
"anoxemia"	"(sự) thiếu oxy mô"
"anoxia"	"(sự) thiếu oxy mô"
"anoxyblosis"	"(sự) sống thiếu oxy mô"
"Anseriformes"	"bộ Ngỗng"
"antagonism"	"hiện tượng đối kháng"
"antebrachium"	"cẳng tay, cẳng chi"
"antecubital"	"trước khuỷu, trước xương trụ"
"antenna"	"râu, anten"
"antennae"	"(các) râu,  aten"
"antennal"	"(thuộc) râu, anten"
"antennal glands"	"(các) tuyến râu"
"antennary"	"(thuộc) râu, anten"
"antennule"	"râu nhỏ, râu I"
"antepetalous"	"trước cánh tràng"
"anteposition"	"vị trí bên"
"anterior"	"phía trước"
"anterior"	"phần trước"
"anterior"	"ở bụng"
"anterior cardiac vein"	"tĩnh mạch cảnh"
"anterior commissure in telecephalon"	"khớp nối trước trong não cùng"
"anterograde amnesia"	"(chứng) quên về sau"
"anteroporterior axis"	"trục trước sau"
"antesepalous"	"trước lá đài"
"anther"	"bao phấn"
"anther culture"	"nuôi cấy bao phấn"
"antagonists"	"(các) sinh vật đối kháng"
"anterior pituitary gland"	"tuyến yên phía trước"
"antheridial receptacle"	"cuống túi tinh, cuống túi phấn, cuống túi tinh tử"
"antherozoid"	"tinh trùng"
"anthesis"	"nở hoa"
"anthesis"	"thời kì ra hoa"
"anthocyanidins"	"anthocyanidin"
"anthocyanins"	"anthocyanin"
"anthocyanosides"	"anthocyanosid"
"anthogenesis"	"(sự) sinh sản cô tính cho hai giới tính"
"anthophilous"	"thích hoa, ưa hoa, kiếm ăn ở hoa"
"anthophore"	"cuống hoa"
"Anthophyta"	"ngành thực vật có hoa"
"Anthophyta"	"ngành thực vật có hạt"
"Anthozoa"	"lớp San hô"
"anthracnose"	"(bệnh) than"
"anthrax"	"bệnh than"
"anthropogenic"	"do người, nhân tạo"
"anthropoid"	"(có) dạng người"
"anthropomorph"	"hình người"
"anthropophyte"	"cây theo người, cây gần người"
"anti- auxun"	"antiauxin, chất kháng auxin"
"antiangiogenesis"	"chống hình thành mạch"
"antibiosis"	"(sự) kháng sinh"
"antibiotic"	"chất kháng sinh, thuốc kháng sinh"
"antibiotic resistance"	"(tính) chịu kháng sinh, chống kháng sinh"
"antibiotic resistance gene"	"gen chống kháng sinh"
"antibody"	"kháng thể"
"antibody affinity chromatography"	"sắc ký ái lực kháng thể"
"antibody arrays"	"dàn kháng thể"
"antibody-laced nanotube membrane"	"màng ống nano ràng buộc kháng thể"
"antibody-mediated immune response"	"phản ứng miễn dịch trung gian kháng thể"
"antical"	"mặt trên"
"anticoagulants"	"chất chống đông tụ"
"anticoding strand"	"sợi đối mã"
"anticodon"	"đơn vị đối mã, anticodon"
"antidiuretic hormon"	"hoocmon antidiuretic"
"antidromic"	"ngược chiều, ngược dòng"
"antifreeze proteins"	"protein kháng đông"
"anticodon"	"đối codon"
"antidilnal"	"đối nghiêng"
"antigene"	"kháng nguyên"
"antigenic determinant"	"thể quyết định (là) kháng nguyên"
"antihemophilic factor viii"	"nhân tố VIII chống chảy máu"
"antihemophilic globulin"	"globulin chống chảy máu"
"anti-idiotype antibodies"	"kháng thể đối idiotyp"
"anti-idiotypes"	"đối idiotyp"
"anti-interferon"	"kháng interferon"
"anti-oncogenes"	"kháng gen (gây) ung thư"
"antioxidants"	"chất chống oxy hoá"
"antiparallel"	"đối song song"
"antiporter"	"đối chiều (trong vận chuyển qua màng)"
"antisense (DNA sequence)"	"đối nghĩa (trình tự ADN đối nghĩa)"
"antisense RNA"	"ARN đối nghĩa"
"antithrombogenous polymers"	"polyme chống đông vón (máu)"
"antitianspirant"	"chất chống thoát hơi nước"
"antitoxin"	"antitoxin"
"antitoxin"	"kháng độc tố, antitoxin"
"antivivisectionists"	"người chống sinh thiết, người chống cắt sống"
"antixenosis"	"tính chống ngoại lai"
"antorbital"	"trước hố mắt"
"antorbital"	"xương vùng mũi"
"antra"	"(các) xoang,  khoang,  hốc"
"antrorse"	"hướng phía trước, cong phía trước"
"antrum"	"xoang, khoang, hốc"
"Anura"	"tổng bộ Không đuôi"
"anural"	"không đuôi, (thuộc) không đuôi"
"anurous"	"không đuôi, (thuộc) bộ không đuôi"
"anus"	"hậu môn"
"antigen"	"kháng nguyên"
"antigenic determinant"	"quyết định kháng nguyên"
"antigenic variation"	"thay đổi kháng nguyên"
"antiglobulin"	"kháng globulin"
"antiglobulin test"	"kiểm tra ngưng kết globulin"
"antihistamine"	"kháng histamin"
"anti-idiotype"	"kháng idiotyp"
"anti-lymphocytic serum"	"huyết thanh kháng lympho bào"
"antimetabolite"	"chất chống chuyển hoá"
"antimutagen"	"chất chống đột biến"
"anti-nuclear factor"	"yếu tố kháng nhân"
"antiohtipeilstaltic"	"phản nhu động, nhu động ngược"
"antiperisaIsis"	"(sự) nhu động ngược, phản nhu động"
"antipetalous"	"trước cánh tràng"
"antipodal cells"	"(các) tế bào đối cực"
"antipyretic"	"hạ sốt, hạ nhiệt, thuốc hạ sốt"
"antisapalous"	"trước lá đài"
"antisepsis"	"(sự) sát trùng, khử trùng"
"anti-social personality"	"loạn nhân cách, nhân cách chống xã hội"
"antithetic alternation of generations"	"xen kẽ thế hệ đối lập"
"antithetic theory of alternation"	"thuyết xen kẽ thế hệ đối lập"
"antithrombin"	"chất chống đông máu"
"apoplast"	"thể không hợp bào"
"anxiety"	"ưu tư, lo lắng, bồn chồn"
"anxiolytic"	"thuốc an thần nhẹ"
"aorta"	"động mạch chủ"
"aortic"	"(thuộc) động mạch chủ"
"aortic arches"	"(các) cung động mạch chủ,  quai động mạch chủ"
"aortic baroreceptor"	"thụ quan áp lực tĩnh mạch"
"aortic bodies"	"động mạch chủ cơ thể"
"aortic valves"	"van động mạch chủ"
"aperturate"	"(có) lỗ mở"
"apetaly"	"(sự) không có cánh tràng"
"apetalous"	"không có cánh tràng"
"apgar score"	"số điểm Apgar"
"aphagia"	"(chứng) không chịu ăn"
"Aphaniptera"	"bộ Bọ chét"
"Aphasia"	"(sự) mất ngôn ngữ"
"apheliotropic"	"hướng tố"
"aphids"	"rệp cây"
"aphonia"	"(sự) mất tiếng nói, mất tiếng"
"aphotic zone"	"tầng nước không sáng, vùng vô quang"
"aphototropic"	"không hướng sáng"
"apical"	"(thuộc) đỉnh, mỏm, chóp"
"apical body"	"thể đỉnh"
"apical cells"	"tế bào chỏm"
"apical constriction"	"eo thắt thể đỉnh"
"apical dominance"	"(tính) trội ngọn,  vượt ngọn"
"apical epidermal cap"	"mũ ngoại bì đỉnh"
"apical growth"	"sinh trưởng ngon"
"apical meristem"	"mô phân sinh đỉnh"
"apical placentatlon"	"kiểu đính noãn đỉnh"
"apical plate"	"vảy đỉnh"
"apical surface of epithelial cell"	"bề mặt đỉnh của tế bào biểu mô"
"apical sense organ"	"cơ quan cảm nhận đỉnh"
"apiculate"	"nhọn đột ngột"
"Aplaceae"	"họ Hoa tán"
"aplacental"	"không nhau, không giá noãn"
"aplanetic"	"không động, bất động"
"aplanogamete"	"giao tử bất động"
"aplanospore"	"bào tử bất động"
"aplasia"	"(sự) ngừng phát triển"
"apneustic"	"không lỗ thở, thiếu lỗ thở"
"aplastic anemia"	"bệnh thiếu máu ngừng tiến triển"
"apneustic centre"	"trung tâm ức chế hô hấp"
"apnoea"	"(sự) ngừng thở"
"apocarpous"	"(có) lá noãn rời"
"Apoda"	"bộ Hải sâm không chân"
"Apo A-1 Milano"	"Apo A-1 Milano (một loại apolipoprotein chống sơ vữa mạch máu)"
"Apo B-100"	"Apo B-100 (một loại lipoprotein nồng độ thấp)"
"Apo-1/Fas"	"Apo-1/Fas, CD95 protein (vận chuyển tín hiệu apoptosis qua màng tế bào)"
"apodal"	"không chân"
"apodeme"	"mấu lồi trong"
"apodous"	"không chân"
"apodous larva"	"ấu trùng không chân"
"apogamous"	"vô giao"
"apoenzyme"	"apoenzym"
"apogamy"	"(sự) sinh sản vô tính, sinh sản vô giao"
"apolipoprotein"	"apolipoprotein"
"apolipoprotein B"	"apolipoprotein B"
"apomictric species"	"loài sinh sản vô tính"
"apomixis"	"(sự) sinh sản không dung hợp, sinh sản vô phối"
"apophysls"	"mấu chằng, mỏm"
"apomixis"	"sinh sản vô phối"
"apoprotein"	"apoprotein"
"apoptosis"	"cái chết theo chương trình (của tế bào)"
"aporogamy"	"(tính) thụ phấn ngoài lỗ noãn"
"aposematic coloration"	"nhuộm màu nguỵ trang xua đuổi"
"apospory"	"(sự) sinh sản không bào tử"
"apostrophe"	"(sự) xếp dọc màng tế bào giậu"
"apothecium"	"thể quả mở, thể quả dạng đĩa"
"apparent competition"	"cạnh tranh biểu kiến"
"appeasement behaviour"	"tập tính phục tùng, tập tính quy phục"
"appendage"	"phần phụ"
"appendicular skeleton"	"bộ xương phụ"
"appendix"	"ruột thừa,  phần  phụ"
"appendix vermiformis"	"ruột thừa"
"appetitive behaviour"	"tập tính thèm ăn"
"applied psychology"	"tập lý học ứng dụng"
"apposition"	"(sự) hình thành các lớp vỏ, phát triển chồng"
"appressed"	"(bị) ép sát, ép nén, áp ép"
"appressorium"	"đĩa bám, giác bám"
"apterism"	"(trạng thái) không cánh"
"approvable letter"	"thư chấp nhận (của FDA đối với dược phẩm mới)"
"apterous"	"không cánh"
"Apterygota"	"phân lớp không cánh"
"Aptitude"	"năng khiếu"
"apyrexia"	"(sự) không sốt,  không sốt"
"aquaporins"	"aquaporin (protein tạo kênh vận chuyển trong tế bào)"
"aquatic"	"thực vật thuỷ sinh"
"aquatic communities"	"quần xã sinh vật ở nước"
"aquatic fungi"	"nấm ở nước"
"aqueduct"	"cống"
"aqueductus"	"cống Sylvii"
"aqueductus vestibuli"	"cống tiền đình"
"aqueous humour"	"thuỷ dịch"
"aqueous solution"	"dung dịch nước"
"aqueous tissue"	"mô thuỷ dịch"
"aquiculture"	"nuôi trồng thuỷ sản"
"aquiduct of Sylvius"	"ống Sylvius"
"Arabidopsis thaliana"	"Arabidopsis thaliana"
"arachidonic acid"	"axit arachidonic"
"Arachnida"	"lớp Nhện"
"arachnidium"	"cơ quan nhả tơ"
"arachnoid"	"có dạng màng nhện"
"arachnoid"	"(có) dạng nhện"
"arachnoid"	"màng nhện"
"Araneae"	"bộ Nhện"
"araneous"	"(có) dạng nhện"
"arboretum"	"vườn cây gỗ"
"arbuscule"	"cây bụi"
"arbuscule"	"rễ mút phân nhánh"
"arch"	"vòm đai Archaea Archaea"
"archaeostomatous"	"(có) nguyên khẩu"
"Archea"	"giới vi khuẩn cổ"
"archecentra"	"trung khu vòng cung"
"archecentrous"	"(thuộc) trung khu vòng cung"
"archegonial chamber"	"khoang túi chứa noãn"
"archegonial receptacle"	"cuống túi chứa noãn"
"Archegoniatae"	"nhóm thực vật túi chứa noãn"
"archegoniophore"	"cuống túi chứa noãn"
"archegonium"	"túi chứa noãn"
"archencephalon"	"não cổ, não nguyên thuỷ"
"archenteron"	"ruột nguyên thuỷ"
"archetype"	"mẫu gốc, mẫu nguyên thuỷ"
"archetype"	"nguyên bào  tử"
"Archiannelida"	"lớp Giun đốt"
"archiblastic"	"phân cắt đều hoàn toàn"
"archiblastula"	"phôi nang đều hoàn toàn"
"archicoel"	"khoang nguyên thuỷ"
"archinephric"	"(thuộc) thận nguyên thuỷ, nguyên thận"
"archipallium"	"vỏ não nguyên thuỷ, vỏ não cổ"
"architype"	"kiểu nguyên thuỷ, kiểu gốc"
"archlnephrldlum"	"nguyên đơn thận, tế bào bài tiết"
"archlnephros"	"nguyên thận, thận nguyên thuỷ"
"Archosauria"	"phân lớp Thằn lằn cổ"
"arclcentrous"	"(có) cột sống cong"
"arctic circle"	"tundra vòng cực"
"arcuate"	"(có) dạng cung"
"area monitoring"	"giám kiểm vùng"
"area opaca"	"vùng mờ"
"area pellucida"	"vùng sáng"
"area relationships"	"quan hệ vùng phân bố"
"area vasculosa"	"vùng mạch"
"Arecaceae"	"Họ Cau"
"Arecidae"	"phân lớp Cau, tổng bộ Cau"
"arenaceous"	"mọc trên cát"
"arenaceous"	"sống trong cát"
"arenicolous"	"sống trong cát"
"areola"	"quầng"
"areolae"	"(các) quầng"
"areolar"	"(thuộc) quầng, rỗ hoa,  đốm"
"areolar tissue"	"mô liên kết thưa"
"archnoid mater"	"chất màng nhân"
"archnoid mater"	"chất màng nhân"
